predicted,actual,cancer_type
529.719971,381.722321,BR_B41T
258.458008,381.722321,BR_B41T
308.470001,381.722321,BR_B41T
452.923981,381.722321,BR_B41T
251.387985,381.722321,BR_B41T
330.567993,381.722321,BR_B41T
388.898010,381.722321,BR_B41T
258.899994,381.722321,BR_B41T
350.036987,381.722321,BR_B41T
309.820679,381.722321,BR_B41T
260.457672,381.722321,BR_B41T
242.660004,381.722321,BR_B41T
347.268005,381.722321,BR_B41T
299.763672,381.722321,BR_B41T
264.393982,381.722321,BR_B41T
295.279999,381.722321,BR_B41T
391.926971,381.722321,BR_B41T
325.638000,381.722321,BR_B41T
444.468658,381.722321,BR_B41T
527.013000,381.722321,BR_B41T
266.078644,381.722321,BR_B41T
352.229309,381.722321,BR_B41T
290.773987,381.722321,BR_B41T
279.919312,381.722321,BR_B41T
305.828644,381.722321,BR_B41T
382.817993,381.722321,BR_B41T
250.122650,381.722321,BR_B41T
422.044006,381.722321,BR_B41T
432.669006,381.722321,BR_B41T
331.717010,381.722321,BR_B41T
315.841003,381.722321,BR_B41T
399.217010,381.722321,BR_B41T
417.294006,381.722321,BR_B41T
246.600021,381.722321,BR_B41T
255.889984,381.722321,BR_B41T
240.925995,381.722321,BR_B41T
390.434021,381.722321,BR_B41T
415.235992,381.722321,BR_B41T
303.983978,381.722321,BR_B41T
483.545990,381.722321,BR_B41T
293.480011,381.722321,BR_B41T
476.879974,381.722321,BR_B41T
344.441986,381.722321,BR_B41T
324.848969,381.722321,BR_B41T
334.788025,381.722321,BR_B41T
289.764984,381.722321,BR_B41T
236.583984,381.722321,BR_B41T
301.339020,381.722321,BR_B41T
282.512024,381.722321,BR_B41T
394.248962,381.722321,BR_B41T
232.805984,381.722321,BR_B41T
308.608978,381.722321,BR_B41T
232.401978,381.722321,BR_B41T
276.799988,381.722321,BR_B41T
279.262665,381.722321,BR_B41T
384.170685,381.722321,BR_B41T
415.843994,381.722321,BR_B41T
317.478668,381.722321,BR_B41T
361.346649,381.722321,BR_B41T
506.975983,381.722321,BR_B41T
385.181976,381.722321,BR_B41T
471.628662,381.722321,BR_B41T
289.846008,381.722321,BR_B41T
413.358002,381.722321,BR_B41T
400.289001,381.722321,BR_B41T
241.147003,381.722321,BR_B41T
236.463989,381.722321,BR_B41T
282.231995,381.722321,BR_B41T
242.521973,381.722321,BR_B41T
295.714508,381.722321,BR_B41T
261.252014,381.722321,BR_B41T
266.222473,381.722321,BR_B41T
399.703308,381.722321,BR_B41T
464.216003,381.722321,BR_B41T
286.493347,381.722321,BR_B41T
476.982025,381.722321,BR_B41T
360.335999,381.722321,BR_B41T
234.260010,381.722321,BR_B41T
269.648010,381.722321,BR_B41T
262.134003,381.722321,BR_B41T
279.705994,381.722321,BR_B41T
289.119019,381.722321,BR_B41T
284.756012,381.722321,BR_B41T
413.861969,381.722321,BR_B41T
231.029984,381.722321,BR_B41T
327.919006,381.722321,BR_B41T
338.584015,381.722321,BR_B41T
440.422028,381.722321,BR_B41T
482.797943,381.722321,BR_B41T
475.125000,381.722321,BR_B41T
530.770020,381.722321,BR_B41T
303.925995,381.722321,BR_B41T
424.770020,381.722321,BR_B41T
239.390503,381.722321,BR_B41T
234.058502,381.722321,BR_B41T
276.513000,381.722321,BR_B41T
287.076965,381.722321,BR_B41T
