predicted,actual,cancer_type
311.535980,384.619684,CO_CO8T
373.457977,384.619684,CO_CO8T
257.351990,384.619684,CO_CO8T
345.838013,384.619684,CO_CO8T
351.894989,384.619684,CO_CO8T
267.069000,384.619684,CO_CO8T
234.670990,384.619684,CO_CO8T
239.716019,384.619684,CO_CO8T
257.957001,384.619684,CO_CO8T
393.014984,384.619684,CO_CO8T
425.836975,384.619684,CO_CO8T
320.485016,384.619684,CO_CO8T
302.654999,384.619684,CO_CO8T
441.218018,384.619684,CO_CO8T
394.454010,384.619684,CO_CO8T
454.460022,384.619684,CO_CO8T
456.659027,384.619684,CO_CO8T
537.384644,384.619684,CO_CO8T
410.561035,384.619684,CO_CO8T
394.509003,384.619684,CO_CO8T
446.731018,384.619684,CO_CO8T
475.222992,384.619684,CO_CO8T
253.295990,384.619684,CO_CO8T
242.890015,384.619684,CO_CO8T
246.945999,384.619684,CO_CO8T
263.478973,384.619684,CO_CO8T
263.630005,384.619684,CO_CO8T
347.518005,384.619684,CO_CO8T
460.725983,384.619684,CO_CO8T
239.694000,384.619684,CO_CO8T
380.962006,384.619684,CO_CO8T
530.900024,384.619684,CO_CO8T
307.067993,384.619684,CO_CO8T
295.094025,384.619684,CO_CO8T
260.418030,384.619684,CO_CO8T
343.036011,384.619684,CO_CO8T
321.921997,384.619684,CO_CO8T
268.376038,384.619684,CO_CO8T
299.876007,384.619684,CO_CO8T
526.509949,384.619684,CO_CO8T
329.472015,384.619684,CO_CO8T
269.759979,384.619684,CO_CO8T
454.543030,384.619684,CO_CO8T
463.231018,384.619684,CO_CO8T
373.474976,384.619684,CO_CO8T
455.139008,384.619684,CO_CO8T
361.851990,384.619684,CO_CO8T
406.170013,384.619684,CO_CO8T
300.830994,384.619684,CO_CO8T
283.669006,384.619684,CO_CO8T
437.669006,384.619684,CO_CO8T
349.837982,384.619684,CO_CO8T
376.570984,384.619684,CO_CO8T
358.881989,384.619684,CO_CO8T
341.055969,384.619684,CO_CO8T
311.272003,384.619684,CO_CO8T
324.802979,384.619684,CO_CO8T
332.273987,384.619684,CO_CO8T
332.087982,384.619684,CO_CO8T
300.590027,384.619684,CO_CO8T
338.456970,384.619684,CO_CO8T
297.802002,384.619684,CO_CO8T
268.860016,384.619684,CO_CO8T
240.178024,384.619684,CO_CO8T
261.105011,384.619684,CO_CO8T
295.801025,384.619684,CO_CO8T
317.700012,384.619684,CO_CO8T
426.572998,384.619684,CO_CO8T
480.528992,384.619684,CO_CO8T
486.920013,384.619684,CO_CO8T
444.395020,384.619684,CO_CO8T
355.927979,384.619684,CO_CO8T
238.032013,384.619684,CO_CO8T
250.720016,384.619684,CO_CO8T
536.039001,384.619684,CO_CO8T
429.753662,384.619684,CO_CO8T
434.662018,384.619684,CO_CO8T
413.129974,384.619684,CO_U6
438.246002,384.619684,CO_U6
329.080017,384.619684,CO_U6
471.884033,384.619684,CO_U6
392.752014,384.619684,CO_U6
261.454010,384.619684,CO_U6
266.451996,384.619684,CO_U6
316.941986,384.619684,CO_U6
240.012009,384.619684,CO_U6
235.727997,384.619684,CO_U6
360.882996,384.619684,CO_U6
431.475403,384.619684,CO_U6
230.838333,384.619684,CO_U6
499.606995,384.619684,CO_U6
339.435333,384.619684,CO_U6
513.989990,384.619684,CO_U6
360.950989,384.619684,CO_U6
357.822998,384.619684,CO_U6
338.669983,384.619684,CO_U6
269.942017,384.619684,CO_U6
285.321991,384.619684,CO_U6
238.173996,384.619684,CO_U6
244.763992,384.619684,CO_U6
307.189026,384.619684,CO_U6
265.776978,384.619684,CO_U6
318.042023,384.619684,CO_U6
274.956970,384.619684,CO_U6
327.387024,384.619684,CO_U6
312.533997,384.619684,CO_U6
263.367981,384.619684,CO_U6
374.960022,384.619684,CO_U6
366.187988,384.619684,CO_U6
516.538025,384.619684,CO_U6
529.390991,384.619684,CO_U6
516.742065,384.619684,CO_U6
435.857025,384.619684,CO_U6
399.237000,384.619684,CO_U6
268.165009,384.619684,CO_U6
281.548004,384.619684,CO_U6
308.579010,384.619684,CO_U6
282.036987,384.619684,CO_U6
342.830994,384.619684,CO_U6
253.498001,384.619684,CO_U6
260.638000,384.619684,CO_U6
338.568024,384.619684,CO_U6
500.548004,384.619684,CO_U6
520.007996,384.619684,CO_U6
447.041992,384.619684,CO_U6
460.970032,384.619684,CO_U6
280.141998,384.619684,CO_U6
275.734009,384.619684,CO_U6
230.957001,384.619684,CO_U6
318.268982,384.619684,CO_U6
311.720001,384.619684,CO_U6
235.609009,384.619684,CO_U6
306.783997,384.619684,CO_U6
303.684021,384.619684,CO_U6
312.813507,384.619684,CO_U6
284.025513,384.619684,CO_U6
232.831665,384.619684,CO_U6
242.254684,384.619684,CO_U6
333.851990,384.619684,CO_U6
244.397339,384.619684,CO_U6
301.620026,384.619684,CO_U6
240.032013,384.619684,CO_U6
520.211975,384.619684,CO_U6
287.748993,384.619684,CO_U6
301.721985,384.619684,CO_U6
462.439026,384.619684,CO_U6
485.960999,384.619684,CO_U6
339.138977,384.619684,CO_U6
473.312988,384.619684,CO_U6
512.533997,384.619684,CO_U6
240.441986,384.619684,CO_U6
302.919006,384.619684,CO_U6
481.065002,384.619684,CO_U6
444.207031,384.619684,CO_U6
461.786041,384.619684,CO_U6
488.079010,384.619684,CO_CO23T
522.445007,384.619684,CO_CO23T
450.579010,384.619684,CO_CO23T
317.250000,384.619684,CO_CO23T
444.658997,384.619684,CO_CO23T
371.195984,384.619684,CO_CO23T
251.041016,384.619684,CO_CO23T
318.481995,384.619684,CO_CO23T
344.208649,384.619684,CO_CO23T
417.728027,384.619684,CO_CO23T
466.378662,384.619684,CO_CO23T
264.038330,384.619684,CO_CO23T
265.747650,384.619684,CO_CO23T
387.257996,384.619684,CO_CO23T
409.238983,384.619684,CO_CO23T
259.765991,384.619684,CO_CO23T
287.023987,384.619684,CO_CO23T
272.316010,384.619684,CO_CO23T
245.441986,384.619684,CO_CO23T
451.468994,384.619684,CO_CO23T
501.755951,384.619684,CO_CO23T
462.378998,384.619684,CO_CO23T
287.992981,384.619684,CO_CO23T
483.087006,384.619684,CO_CO23T
279.226013,384.619684,CO_CO23T
405.382996,384.619684,CO_CO23T
412.552979,384.619684,CO_CO23T
348.304016,384.619684,CO_CO23T
507.538025,384.619684,CO_CO23T
