predicted,actual,cancer_type
257.996002,400.483185,LU_A_LU_A6T
506.903992,400.483185,LU_A_LU_A6T
547.911987,400.483185,LU_A_LU_A6T
556.135986,400.483185,LU_A_LU_A6T
528.004028,400.483185,LU_A_LU_A6T
536.734009,400.483185,LU_A_LU_A6T
352.115997,400.483185,LU_A_LU_A6T
365.498016,400.483185,LU_A_LU_A6T
417.228027,400.483185,LU_A_LU_A6T
461.473328,400.483185,LU_A_LU_A6T
273.665985,400.483185,LU_A_LU_A6T
483.591309,400.483185,LU_A_LU_A6T
261.671692,400.483185,LU_A_LU_A6T
258.628998,400.483185,LU_A_LU_A6T
285.369324,400.483185,LU_A_LU_A6T
467.764984,400.483185,LU_A_LU_A6T
415.565002,400.483185,LU_A_LU_A6T
516.146973,400.483185,LU_A_LU_A6T
510.774994,400.483185,LU_A_LU_A6T
286.374023,400.483185,LU_A_LU_A6T
256.341003,400.483185,LU_A_LU_A6T
255.310013,400.483185,LU_A_LU_A6T
321.718994,400.483185,LU_A_LU_A6T
242.699997,400.483185,LU_A_LU_A6T
259.770020,400.483185,LU_A_LU_A6T
317.584015,400.483185,LU_A_LU_A6T
316.808014,400.483185,LU_A_LU_A6T
421.762024,400.483185,LU_A_LU_A6T
542.530029,400.483185,LU_A_LU_A6T
355.124023,400.483185,LU_A_LU_A6T
372.485992,400.483185,LU_A_LU_A6T
522.548035,400.483185,LU_A_LU_A6T
496.360016,400.483185,LU_A_LU_A6T
511.587982,400.483185,LU_A_LU_A6T
538.749939,400.483185,LU_A_LU_A6T
321.368011,400.483185,LU_A_LU_A6T
308.076019,400.483185,LU_A_LU_A6T
243.885986,400.483185,LU_A_LU_A6T
323.231995,400.483185,LU_A_LU_A6T
344.768005,400.483185,LU_A_LU_A6T
423.750000,400.483185,LU_A_LU_A6T
557.201965,400.483185,LU_A_LU_A6T
318.406006,400.483185,LU_A_LU_A6T
291.753998,400.483185,LU_A_LU_A6T
421.035980,400.483185,LU_A_LU_A6T
503.947998,400.483185,LU_A_LU_A6T
385.291992,400.483185,LU_A_LU_A6T
435.149994,400.483185,LU_A_LU_A6T
439.225342,400.483185,LU_A_LU_A6T
546.121338,400.483185,LU_A_LU_A6T
403.335999,400.483185,LU_A_LU_A6T
464.445984,400.483185,LU_A_LU_A6T
459.401306,400.483185,LU_A_LU_A6T
504.143951,400.483185,LU_A_LU_A6T
313.437988,400.483185,LU_A_LU_A6T
252.904999,400.483185,LU_A_LU_A6T
247.689987,400.483185,LU_A_LU_A6T
358.734009,400.483185,LU_A_LU_A6T
366.083984,400.483185,LU_A_LU_A6T
259.270996,400.483185,LU_A_LU_A6T
262.351013,400.483185,LU_A_LU_A6T
403.044006,400.483185,LU_A_LU_A6T
308.574982,400.483185,LU_A_LU_A6T
245.679001,400.483185,LU_A_LU_A6T
450.537994,400.483185,LU_A_LU_A6T
464.398010,400.483185,LU_A_LU_A6T
277.653351,400.483185,LU_A_LU_A6T
492.139343,400.483185,LU_A_LU_A6T
400.115326,400.483185,LU_A_LU_A6T
293.138000,400.483185,LU_A_LU_A6T
370.740021,400.483185,LU_A_LU_A6T
242.041992,400.483185,LU_A_LU_A6T
266.171997,400.483185,LU_A_LU_A6T
325.658020,400.483185,LU_A_LU_A6T
250.847992,400.483185,LU_A_LU_A6T
448.658020,400.483185,LU_A_LU_A6T
357.921997,400.483185,LU_A_LU_A6T
442.450012,400.483185,LU_A_LU_A6T
463.984039,400.483185,LU_A_LU_A6T
267.360992,400.483185,LU_A_LU_A6T
289.645996,400.483185,LU_A_LU_A6T
437.963043,400.483185,LU_A_LU_A6T
401.005005,400.483185,LU_A_LU_A6T
484.256989,400.483185,LU_A_LU_A6T
262.083984,400.483185,LU_A_LU_A6T
502.141998,400.483185,LU_A_LU_A6T
403.161987,400.483185,LU_A_LU_A6T
455.289978,400.483185,LU_A_LU_A6T
241.967987,400.483185,LU_A_LU_A6T
377.821472,400.483185,LU_A_LU_A6T
411.043518,400.483185,LU_A_LU_A6T
263.502014,400.483185,LU_A_LU_A6T
299.005493,400.483185,LU_A_LU_A6T
264.742004,400.483185,LU_A_LU_A6T
380.755493,400.483185,LU_A_LU_A6T
473.951965,400.483185,LU_A_LU_A6T
424.017975,400.483185,LU_A_LU_A6T
311.690002,400.483185,LU_A_LU_A6T
