%
@relation cancer
@attribute BR_BR8T real
@attribute BR_BR10T real
@attribute BR_BR14T real
@attribute BR_BR16T real
@attribute BR_BR17T real
@attribute BR_BR20T real
@attribute BR_BR6T real
@attribute BR_BR15T real
@attribute BR_BR21T real
@attribute BR_BR29T real
@attribute BR_BR31T real
@attribute BR_BR32T real
@attribute BR_U1 real
@attribute BR_U16 real
@attribute BR_UX7 real
@attribute BR_UX8 real
@attribute BR_UX19 real
@attribute BR_B24T real
@attribute BR_B46T real
@attribute BR_B30T real
@attribute BR_B34T real
@attribute BR_B36T real
@attribute BR_B37T real
@attribute BR_B38T real
@attribute BR_B39T real
@attribute BR_B41T real
@attribute PR_PR29T real
@attribute PR_PR13BT real
@attribute PR_PR8T real
@attribute PR_PR21T real
@attribute PR_PR27T real
@attribute PR_PR9T real
@attribute PR_PR7T real
@attribute PR_PR19T real
@attribute PR_PR5T real
@attribute PR_PR24T real
@attribute PR_U40 real
@attribute PR_U41 real
@attribute PR_PR4 real
@attribute PR_PR3 real
@attribute PR_PR1 real
@attribute PR_PR10 real
@attribute PR_PR22 real
@attribute PR_PR12 real
@attribute PR_PR31 real
@attribute PR_PR30 real
@attribute PR_PR26 real
@attribute PR_PR16 real
@attribute PR_PR23 real
@attribute PR_PR6 real
@attribute PR_PR11 real
@attribute PR_PR17 real
@attribute LU_A_LU_A31T real
@attribute LU_A_LU_A34T real
@attribute LU_A_LU_A39T real
@attribute LU_A_LU_A8T real
@attribute LU_A_LU_A20T real
@attribute LU_A_LU_A5T real
@attribute LU_A_LU_A6T real
@attribute LU_A_LU_A17T real
@attribute LU_A_LU_A18T real
@attribute LU_S_LU_S19T real
@attribute LU_S_LU_S24T real
@attribute LU_S_LU_S25T real
@attribute LU_S_LU_S12T real
@attribute LU_S_LU_S13T real
@attribute LU_S_LU_S14T real
@attribute LU_S_LU_S11T real
@attribute LU_S_LU_S7T real
@attribute LUA_U17 real
@attribute LUA_UX4 real
@attribute LUA_LU40T real
@attribute LUA_LU44T real
@attribute LUA_LU33T real
@attribute LUS_U2 real
@attribute LUS_U19 real
@attribute LUS_LU41T real
@attribute LUS_LU30T real
@attribute LUS_LU26T real
@attribute LUS_LU36T real
@attribute CO_CO7T real
@attribute CO_CO9T real
@attribute CO_CO42T real
@attribute CO_CO15T real
@attribute CO_CO40T real
@attribute CO_CO27T real
@attribute CO_CO30T real
@attribute CO_CO32T real
@attribute CO_CO20T real
@attribute CO_CO24T real
@attribute CO_CO8T real
@attribute CO_U6 real
@attribute CO_U12 real
@attribute CO_CO14T real
@attribute CO_CO21T real
@attribute CO_CO23T real
@attribute CO_CO5T real
@attribute CO_CO43T real
@attribute CO_CO44T real
@attribute CO_CO49T real
@attribute CO_CO51T real
@attribute CO_CO56T real
@attribute CO_CO61T real
@attribute class_label real
@data
69.87667,71.80667,132.84667,102.35,61.12,225.13667,106.12667,100.86,89.46,89.92667,45.36,79.88,35.74,190.64,51.82333,66.43333,83.36,67.10667,51.62,51.58333,98.21,67.51,60.22333,66.63333,56.79,53.46,39.22667,54.95667,56.68333,75.90333,101.52,52.32,85.90667,82.81,50.94667,46.93,57.62,71.81333,66.57667,86.30667,48.66667,92.53667,59.27333,55.53667,52.66,62.57333,45.56667,87.16,66.34333,61.49333,50.75667,57.62,111.95333,47.01667,33.51333,44.27667,52.65,60.51,93.12,81.18333,114.13,45.07333,37.79,46.66333,35.01333,83.68333,49.92667,27.53333,37.91,37.60333,94.76,95.74333,66.64333,84.44667,40.67667,31.67333,45.06,47.47,74.94667,45.95333,64.06,55.87,50.79,135.66333,39.47,86.72667,107.05,53.44667,92.93,130.60333,61.78333,66.64,62.1,48.88667,91.53667,64.25,51.1,55.89333,42.88667,42.29333,52.17,29.36,42.06667,0
50.53,20,20,55.49,25.9,20,79.42,46.47,20,83.96,71.51,25.05,73.33,205.37,20,33.92,45.99,20,47.94,33.14,42.86,20,20,28.18,20,20,20,20,20,20,20,20,20,22.38,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,40.68,58.51,34.07,26.66,25.17,22.38,145.5,20,20,20,20,20,20,79.98,36.59,46.56,20,25.9,41.44,23.93,20,20,49.44,31.59,20,20,20,20,85.58,49.54,20,98.54,20,27.64,45.44,20,20,44.49,20,57.12,20,20,24.48,33.34,20,22.59,20,24.4,20,30.77,36.54,1
53.75,413.41,197.29,20,161.37,734.62,559.19,82.13,122.56,75,20,20,81.48,1726.36,284.6,269.27,20,20,25.97,187.77,20,139.33,154.2,20,226.87,192.89,20,150.04,133.93,315.65,143.72,425.48,328.83,392.53,143.25,146.35,55.68,405.29,278.33,216.93,110,145.48,250.67,81.46,257.99,474.73,135.52,127.74,294.92,252.61,42.23,55.68,20,340.96,280.85,423.66,397.72,383.39,754.68,446.85,284.81,193.37,366.8,231.13,183.76,203.41,438.13,344.76,203,301.11,163.58,98.69,20,55.8,389.18,400.75,48.66,363.45,497.16,20,468.19,651.13,424.33,634.38,98.4,323.09,170.13,318.51,584.4,363.34,340.98,71.4,405.99,136.02,20,20,388.73,153.22,182.09,297.72,319.15,488.49,315.76,2
485.39,334.92,138.795,249.165,142.945,388.69,266.18,264.76,109.24,367.16,249.76,249.45,176.2,832.375,235.865,177.29,132.735,126.28,209.245,294.355,120.535,76.145,151.505,219.995,204.285,189.36,142.415,121.845,178.095,141.045,136.535,98.81,178.03,57.34,137.365,144.89,98.665,255.33,165.355,189.435,122,209,124.835,132.01,112.93,86.23,142.105,108.93,48.67,118.17,156.56,98.665,172.625,163.92,137.325,121.47,167.14,209.215,394.31,247.78,228.93,224.425,80.505,164.74,216.28,443.84,212.635,141.175,203.505,248.22,145.04,138.07,86.425,208.485,288.73,199.885,133.55,145.58,163.15,235.385,372.03,397.86,201.365,594.855,151.08,186.805,378.29,188.12,302.805,270.12,208.79,225.935,146.25,102.75,198.79,405.1,336.68,112.955,203.54,265.02,171.59,188.475,246.895,2
20,20,20,20,20,20,20,20,32.54,20,20,20,20,20,20,20,20,45.33,20,20,20,20.52,20,20,20,20.2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24.17,20,20,20,108.78,67.13,53.35,33.44,22.71,20,556.81,22.79,22.22,20,20,20,20,20,20,161.88,32.77,20,36.03,59.75,20,20,20,20,68.58,20,35.93,20,59.39,184.32,25.22,27.54,20,20,81.28,20,37.77,20,20,37.09,20,23.08,20,2
127.93,184.03,191.34,208.08,277.92,92.1,134.16,173.98,238.62,223.88,222.82,113.29,185.36,20,105.26,194.25,78.39,159.74,412.5,188.87,261.42,279.74,271.73,359.79,268.96,238.34,243.59,289.01,119.37,284.19,299.9,385.15,180.13,213.51,317.9,404.15,350.71,155.81,325.57,106.96,287,88.26,304.6,225.74,234.36,110.87,345.38,272.11,185.05,120.56,338.87,350.71,347.34,131.14,364.48,146.16,141.97,283.17,81.48,48.71,271.95,358.68,201.03,214.41,233.31,104.67,368.9,141.67,192.9,187.79,273.72,175.46,94.01,125.8,109.39,128.32,146.96,244.98,209.98,107.13,71.49,147.62,126.73,133.45,199.79,100.07,133.14,162.24,130.46,81.57,91.55,96.9,208.37,259.31,279.09,256.6,141.86,254.39,450.94,243.06,204.75,318.29,148.98,1
731.04,750.08,932.89,813.13,353.62,1015.31,727.7,757.53,673.55,426.49,403.14,546.84,400.26,2703.13,408.38,403.91,552.89,728.54,300.64,479.36,545.35,389.9,464.75,685.99,555.37,422.14,234,241.68,417.33,662.76,270.19,343.81,330.93,453.13,217.82,294.63,324.33,452.12,297.84,293.9,188,538.26,304.6,259.12,295.79,356.28,309.62,431.35,357.57,304.28,267.8,324.33,633.14,531.61,267.43,451.31,362.48,232.57,894.36,483.91,267.99,150.29,330.6,302.93,300.42,792.89,276.92,332.87,255.52,234.19,582.34,286.11,378.06,443.35,571.15,322.77,365.41,413.65,560.98,437.81,914.22,1026.24,514.45,948.49,495,805.35,1091.56,446.91,1333.2,757.39,378.35,395.77,613.38,318.03,424.02,533.4,512.16,283.85,334.63,394.36,301.84,413.49,433.82,0
896.59,129.08,157.63,167.53,558.82,58.11,283.35,204.24,191.98,231.72,435.27,495.64,238.33,180.98,253.41,258.99,202.76,777.1,253.69,250.73,568.92,365.06,1286.43,421.56,419.87,482.74,402.79,676.7,611.43,826.36,508.77,391.2,496.39,366.42,687.81,513.66,493.33,483.64,726.12,745.75,546,658.52,680.11,756.73,349.65,530.64,621.13,531.1,676.59,526.26,421.27,493.33,514.23,946.21,368.61,220.22,926.33,569.25,434.57,295.43,441.05,426.81,214.36,454.39,609.09,136.26,973.18,722.22,691.82,376.65,760.09,714.78,440.73,354.07,408.11,426.42,249.23,538.14,622.74,288.44,409.79,545.98,291.96,208.38,439.33,272.58,807.31,209.02,341.52,273.3,353.12,296.83,626.1,383.59,365.27,417.22,208.18,561.81,332.72,609.1,640.22,811.59,639.96,0
505.28,896.6,546.25,278.51,645.49,528.49,241.49,372.82,1000.01,341.42,412.47,298.47,823.95,378.64,985.38,280.58,332.36,376.68,353.57,490.41,358.92,272.17,278.2,536.44,415.76,605.95,307.85,343.38,300.86,375.43,408.17,352.89,372.82,275.98,384.62,386.7,436.67,282.8,573.09,226.92,336,321.02,357.53,372.97,356.27,374.29,412.2,454.98,372.99,418.14,402.73,436.67,516.31,513.45,510.07,276.52,469.2,404.8,444.27,610.98,360.95,475.9,391.57,284.24,474.89,339.67,417.36,414.11,823.11,597.9,656.49,376.83,448.82,417.98,457.55,400.75,291.93,383.53,461.13,443.99,455.1,705.73,698.45,378.78,460.21,345.97,464.94,511.61,659.71,257.41,404.5,426.37,463.7,551.9,623.79,564.71,463.34,516.63,625.41,441.21,566.2,435.6,602.48,2
65.365,25.265,132.845,277.975,251.52,322.355,140.065,97.795,119.31,172.95,52.49,153.595,48.195,173.92,20,21.305,71.595,138.155,20,58.54,80.355,80.465,47.985,37.93,35.42,28.28,102.135,386.18,144.61,155.2,77.13,123.51,123.625,342.65,105.475,288.815,43.705,115.73,164.84,65.48,174.5,154.02,202.235,114.835,75.68,231.68,58.35,132.995,274.685,80.855,136.99,43.705,115.255,38.75,68.15,44.44,21.075,54.98,172.665,25.415,30.275,20,105.75,30.655,20,91.955,20,78.855,28.685,39.93,21.45,44.395,30.72,52.25,59.955,21.845,87.875,105.42,123,31.12,89.61,81.9,126.735,117.02,48.705,117.705,69.215,20.45,57.73,120.76,24.015,61.2,49.13,73.605,539.575,181.335,133.57,105.27,33.365,129.825,36.435,30.675,34.36,1
