predicted,actual,cancer_type
375.499023,381.438019,CO_CO23T
432.132996,381.438019,CO_CO23T
359.354034,381.438019,CO_CO23T
328.966003,381.438019,CO_CO23T
512.385010,381.438019,CO_CO23T
475.572021,381.438019,CO_CO23T
311.578033,381.438019,CO_CO23T
421.543030,381.438019,CO_CO23T
468.136047,381.438019,CO_CO23T
400.686981,381.438019,CO_CO23T
514.335999,381.438019,CO_CO23T
331.835999,381.438019,CO_CO23T
278.105988,381.438019,CO_CO23T
440.692963,381.438019,CO_CO23T
472.257019,381.438019,CO_CO23T
295.670013,381.438019,CO_CO23T
261.829010,381.438019,CO_CO23T
436.493988,381.438019,CO_CO23T
448.233978,381.438019,CO_CO23T
354.666992,381.438019,CO_CO23T
248.048996,381.438019,CO_CO23T
438.434967,381.438019,CO_CO23T
349.064362,381.438019,CO_CO23T
319.188019,381.438019,CO_CO23T
381.593323,381.438019,CO_CO23T
241.939331,381.438019,CO_CO23T
372.125977,381.438019,CO_CO23T
498.981354,381.438019,CO_CO23T
421.463959,381.438019,CO_CO23T
419.850006,381.438019,CO_CO23T
261.407013,381.438019,CO_CO23T
296.559998,381.438019,CO_CO23T
308.319000,381.438019,CO_CO23T
327.876007,381.438019,CO_CO23T
427.256012,381.438019,CO_CO23T
230.935989,381.438019,CO_CO23T
275.386017,381.438019,CO_CO23T
295.925964,381.438019,CO_CO23T
254.776001,381.438019,CO_CO23T
505.445984,381.438019,CO_CO23T
312.898010,381.438019,CO_CO23T
412.775330,381.438019,CO_CO23T
288.318024,381.438019,CO_CO23T
413.342682,381.438019,CO_CO23T
481.835358,381.438019,CO_CO23T
326.907318,381.438019,CO_CO23T
267.971008,381.438019,CO_CO23T
409.746674,381.438019,CO_CO23T
524.609680,381.438019,CO_CO23T
435.083008,381.438019,CO_CO23T
410.757996,381.438019,CO_CO23T
527.369690,381.438019,CO_CO23T
274.355011,381.438019,CO_CO23T
331.466644,381.438019,CO_CO23T
420.668701,381.438019,CO_CO23T
293.301697,381.438019,CO_CO23T
360.425964,381.438019,CO_CO23T
374.368011,381.438019,CO_CO23T
257.463989,381.438019,CO_CO23T
296.360016,381.438019,CO_CO23T
418.514008,381.438019,CO_CO23T
347.718018,381.438019,CO_CO23T
332.565979,381.438019,CO_CO23T
407.785004,381.438019,CO_CO23T
247.664017,381.438019,CO_CO23T
420.656006,381.438019,CO_CO23T
308.902985,381.438019,CO_CO23T
260.636993,381.438019,CO_CO23T
401.158020,381.438019,CO_CO23T
249.300003,381.438019,CO_CO23T
235.864990,381.438019,CO_CO23T
369.133972,381.438019,CO_CO23T
394.672028,381.438019,CO_CO23T
306.662018,381.438019,CO_CO23T
229.453690,381.438019,CO_CO23T
237.535675,381.438019,CO_CO23T
403.413635,381.438019,CO_CO23T
442.636047,381.438019,CO_CO23T
316.629333,381.438019,CO_CO23T
252.875977,381.438019,CO_CO23T
444.791656,381.438019,CO_CO23T
473.347992,381.438019,CO_CO23T
394.347992,381.438019,CO_CO23T
347.273010,381.438019,CO_CO23T
382.807343,381.438019,CO_CO23T
264.596008,381.438019,CO_CO23T
289.184998,381.438019,CO_CO23T
263.215027,381.438019,CO_CO23T
265.962677,381.438019,CO_CO23T
374.265320,381.438019,CO_CO23T
291.628662,381.438019,CO_CO23T
234.835846,381.438019,CO_CO23T
405.806976,381.438019,CO_CO23T
416.312500,381.438019,CO_CO23T
248.775482,381.438019,CO_CO23T
357.052490,381.438019,CO_CO23T
448.336517,381.438019,CO_CO23T
515.171997,381.438019,CO_CO23T
488.746002,381.438019,CO_CO23T
238.110016,381.438019,CO_CO23T
322.260010,381.438019,CO_CO23T
252.388016,381.438019,CO_CO23T
381.561035,381.438019,CO_CO23T
484.098053,381.438019,CO_CO23T
270.839020,381.438019,CO_CO23T
398.967987,381.438019,CO_CO23T
370.462006,381.438019,CO_CO23T
353.578033,381.438019,CO_CO23T
359.495972,381.438019,CO_CO23T
327.349976,381.438019,CO_CO23T
482.944000,381.438019,CO_CO23T
272.959991,381.438019,CO_CO23T
234.979004,381.438019,CO_CO23T
237.725006,381.438019,CO_CO23T
309.693024,381.438019,CO_CO23T
285.811981,381.438019,CO_CO23T
249.241989,381.438019,CO_CO23T
295.794006,381.438019,CO_CO23T
282.619995,381.438019,CO_CO23T
327.917999,381.438019,CO_CO23T
247.060013,381.438019,CO_CO23T
377.781982,381.438019,CO_CO23T
424.898010,381.438019,CO_CO23T
283.064026,381.438019,CO_CO23T
375.802002,381.438019,CO_CO23T
288.114990,381.438019,CO_CO23T
531.782043,381.438019,CO_CO23T
248.713989,381.438019,CO_CO23T
392.026001,381.438019,CO_CO23T
451.570007,381.438019,CO_CO23T
397.219025,381.438019,CO_CO23T
355.455994,381.438019,CO_CO23T
291.388000,381.438019,CO_CO23T
271.304993,381.438019,CO_CO23T
475.187988,381.438019,CO_CO23T
308.057007,381.438019,CO_CO23T
420.737976,381.438019,CO_CO23T
284.923004,381.438019,CO_CO23T
367.075012,381.438019,CO_CO23T
507.535004,381.438019,CO_CO23T
502.362976,381.438019,CO_CO23T
481.713959,381.438019,CO_CO23T
478.320984,381.438019,CO_CO23T
359.800995,381.438019,CO_CO23T
319.514984,381.438019,CO_CO23T
364.286011,381.438019,CO_CO23T
379.237976,381.438019,CO_CO23T
242.442993,381.438019,CO_CO23T
256.292999,381.438019,CO_CO23T
304.429016,381.438019,CO_CO23T
260.838013,381.438019,CO_CO23T
397.177979,381.438019,CO_CO23T
321.518677,381.438019,CO_CO23T
387.384674,381.438019,CO_CO23T
240.714020,381.438019,CO_CO23T
352.726013,381.438019,CO_CO23T
318.783997,381.438019,CO_CO23T
378.992981,381.438019,CO_CO23T
276.314026,381.438019,CO_CO23T
289.245026,381.438019,CO_CO23T
379.802002,381.438019,CO_CO23T
258.778015,381.438019,CO_CO23T
319.350006,381.438019,CO_CO23T
230.047028,381.438019,CO_CO23T
364.041992,381.438019,CO_CO23T
355.800964,381.438019,CO_CO23T
236.793991,381.438019,CO_CO23T
259.950012,381.438019,CO_CO23T
286.660004,381.438019,CO_CO23T
253.686005,381.438019,CO_CO23T
232.712006,381.438019,CO_CO23T
344.282013,381.438019,CO_CO23T
322.462036,381.438019,CO_CO23T
327.027008,381.438019,CO_CO23T
431.525970,381.438019,CO_CO23T
438.919006,381.438019,CO_CO23T
522.606934,381.438019,CO_CO23T
532.263977,381.438019,CO_CO23T
266.393982,381.438019,CO_CO23T
273.768005,381.438019,CO_CO23T
238.390991,381.438019,CO_CO23T
262.453979,381.438019,CO_CO23T
242.813995,381.438019,CO_CO23T
282.009979,381.438019,CO_CO23T
267.019989,381.438019,CO_CO23T
233.925995,381.438019,CO_CO23T
389.340027,381.438019,CO_CO23T
312.479980,381.438019,CO_CO23T
453.954010,381.438019,CO_CO23T
284.398010,381.438019,CO_CO23T
404.632996,381.438019,CO_CO23T
339.899994,381.438019,CO_CO23T
