BR_BR8T,BR_BR10T,BR_BR14T,BR_BR16T,BR_BR18T,BR_BR20T,BR_BR6T,BR_BR15T,BR_BR21T,BR_BR29T,BR_BR31T,BR_BR32T,BR_U1,BR_U16,BR_UX6,BR_UX8,BR_UX19,BR_B24T,BR_B46T,BR_B30T,BR_B34T,BR_B36T,BR_B37T,BR_B38T,BR_B39T,BR_B41T,PR_PR28T,PR_PR13BT,PR_PR8T,PR_PR21T,PR_PR27T,PR_PR9T,PR_PR7T,PR_PR19T,PR_PR5T,PR_PR24T,PR_U38,PR_U41,PR_PR4,PR_PR3,PR_PR1,PR_PR10,PR_PR22,PR_PR12,PR_PR31,PR_PR30,PR_PR26,PR_PR16,PR_PR23,PR_PR4,PR_PR11,PR_PR17,LU_A_LU_A31T,LU_A_LU_A34T,LU_A_LU_A39T,LU_A_LU_A8T,LU_A_LU_A20T,LU_A_LU_A5T,LU_A_LU_A6T,LU_A_LU_A17T,LU_A_LU_A18T,LU_S_LU_S20T,LU_S_LU_S24T,LU_S_LU_S25T,LU_S_LU_S12T,LU_S_LU_S13T,LU_S_LU_S14T,LU_S_LU_S44T,LU_S_LU_S7T,LUA_U17,LUA_UX4,LUA_LU40T,LUA_LU44T,LUA_LU33T,LUS_U2,LUS_U50,LUS_LU41T,LUS_LU30T,LUS_LU26T,LUS_LU36T,CO_CO7T,CO_CO9T,CO_CO42T,CO_CO15T,CO_CO40T,CO_CO27T,CO_CO30T,CO_CO32T,CO_CO88T,CO_CO24T,CO_CO8T,CO_U6,CO_U12,CO_CO14T,CO_CO21T,CO_CO23T,CO_CO5T,CO_CO43T,CO_CO70T,CO_CO49T,CO_CO51T,CO_CO56T,CO_CO61T
26.00,55.00,96.00,46.00,20.00,20.00,39.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,51.00,385.00,20.00,69.00,71.00,20.00,20.00,20.00,20.00,20.00,61.00,20.00,85.00,25.00,20.00,20.00,39.00,20.00,26.00,55.00,96.00,46.00,20.00,20.00,39.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,51.00,385.00,20.00,69.00,71.00,20.00,20.00,20.00,20.00,20.00,61.00,20.00,85.00,25.00,20.00,20.00,39.00,20.00,26.00,55.00,96.00,46.00,20.00,20.00,39.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,51.00,385.00,20.00,69.00,71.00,20.00,20.00,20.00,20.00,20.00,61.00,20.00,85.00,25.00,20.00,20.00,39.00,20.00,26.00,55.00,96.00,46.00,20.00,20.00,39.00
112,113,68,76.3,76,163,196.4,67,79,71,72,102,114,61,160,276,168,20,20,121,33.9,226,56,20,261,20,20,130,50,36,50,71.5,112,113,68,76.3,76,163,196.4,67,79,71,72,102,114,61,160,276,168,20,20,121,33.9,226,56,20,261,20,20,130,50,36,50,71.5,112,113,68,76.3,76,163,196.4,67,79,71,72,102,114,61,160,276,168,20,20,121,33.9,226,56,20,261,20,20,130,50,36,50,71.5,112,113,68,76.3,76,163,196.4
20,20,20,20,32,20,20,20,20,20,20,186,57,20,20,86,20,20,125,20,20,20,20,49,20,20,54,20,20,107,20,20,20,20,20,20,32,20,20,20,20,20,20,186,57,20,20,86,20,20,125,20,20,20,20,49,20,20,54,20,20,107,20,20,20,20,20,20,32,20,20,20,20,20,20,186,57,20,20,86,20,20,125,20,20,20,20,49,20,20,54,20,20,107,20,20,20,20,20,20,32,20,20
116,83,259.5,89,20,106.5,205.3,194,126.5,72.5,169,312.5,158,51.5,260.5,209,156.5,20,118.5,95.5,46.45,282.5,27,45,102,36.5,47,119.5,101.2,20,151.5,20,116,83,259.5,89,20,106.5,205.3,194,126.5,72.5,169,312.5,158,51.5,260.5,209,156.5,20,118.5,95.5,46.45,282.5,27,45,102,36.5,47,119.5,101.2,20,151.5,20,116,83,259.5,89,20,106.5,205.3,194,126.5,72.5,169,312.5,158,51.5,260.5,209,156.5,20,118.5,95.5,46.45,282.5,27,45,102,36.5,47,119.5,101.2,20,151.5,20,116,83,259.5,89,20,106.5,205.3
112,20,50,40,20,76,87,72,44,20,20,20,20,44,102,305,113,144,89,81,37,45,20,92,55,69,55,20,20,20,26,26,112,20,50,40,20,76,87,72,44,20,20,20,20,44,102,305,113,144,89,81,37,45,20,92,55,69,55,20,20,20,26,26,112,20,50,40,20,76,87,72,44,20,20,20,20,44,102,305,113,144,89,81,37,45,20,92,55,69,55,20,20,20,26,26,112,20,50,40,20,76,87
613,548,594,695,105,468,608,571,589,553,655,579,314,499,647,1051,277,204,528,430,115,744,203,938,795,392,269,233,409,267,422,387,613,548,594,695,105,468,608,571,589,553,655,579,314,499,647,1051,277,204,528,430,115,744,203,938,795,392,269,233,409,267,422,387,613,548,594,695,105,468,608,571,589,553,655,579,314,499,647,1051,277,204,528,430,115,744,203,938,795,392,269,233,409,267,422,387,613,548,594,695,105,468,608
354,298,449,462,100,370,407,337,425,181,517,303,280,277,558,713,331,514,439,704,274,529,346,696,340,396,393,242,544,471,440,244,354,298,449,462,100,370,407,337,425,181,517,303,280,277,558,713,331,514,439,704,274,529,346,696,340,396,393,242,544,471,440,244,354,298,449,462,100,370,407,337,425,181,517,303,280,277,558,713,331,514,439,704,274,529,346,696,340,396,393,242,544,471,440,244,354,298,449,462,100,370,407
365,964,1100,497,176,669,872,1039,511,836,1083,73,134,423,714,1050,265,556,693,275,20,1180,168,423,722,621,625,171,231,274,450,408,365,964,1100,497,176,669,872,1039,511,836,1083,73,134,423,714,1050,265,556,693,275,20,1180,168,423,722,621,625,171,231,274,450,408,365,964,1100,497,176,669,872,1039,511,836,1083,73,134,423,714,1050,265,556,693,275,20,1180,168,423,722,621,625,171,231,274,450,408,365,964,1100,497,176,669,872
347,462.33333,623.33333,225.66667,79.66667,185,272.1,363.33333,182,271.33333,394,324.66667,264,137.33333,401.33333,581,281.66667,195.13333,792.66667,206,79.23333,587,74,193.33333,415.33333,161,177.66667,35,118.56667,129.33333,367.33333,236.13333,347,462.33333,623.33333,225.66667,79.66667,185,272.1,363.33333,182,271.33333,394,324.66667,264,137.33333,401.33333,581,281.66667,195.13333,792.66667,206,79.23333,587,74,193.33333,415.33333,161,177.66667,35,118.56667,129.33333,367.33333,236.13333,347,462.33333,623.33333,225.66667,79.66667,185,272.1,363.33333,182,271.33333,394,324.66667,264,137.33333,401.33333,581,281.66667,195.13333,792.66667,206,79.23333,587,74,193.33333,415.33333,161,177.66667,35,118.56667,129.33333,367.33333,236.13333,347,462.33333,623.33333,225.66667,79.66667,185,272.1
115.5,66,104.5,193.5,20,94.5,89,83.5,161,32.5,77,76.5,33.5,121,218.5,214,84.5,144.5,146,225.5,41.5,69,187,319,154,136.5,123.5,109.5,200.5,165.5,145,43,115.5,66,104.5,193.5,20,94.5,89,83.5,161,32.5,77,76.5,33.5,121,218.5,214,84.5,144.5,146,225.5,41.5,69,187,319,154,136.5,123.5,109.5,200.5,165.5,145,43,115.5,66,104.5,193.5,20,94.5,89,83.5,161,32.5,77,76.5,33.5,121,218.5,214,84.5,144.5,146,225.5,41.5,69,187,319,154,136.5,123.5,109.5,200.5,165.5,145,43,115.5,66,104.5,193.5,20,94.5,89
449,767,872.5,201.55,196,167,258.5,520.5,143,182.5,464.5,216,109,62.5,718.5,1831.5,2087,1179.6,2654,98.5,56.15,1152.5,232,370.5,1903,417,832,20,70.75,166,2117,1177.05,449,767,872.5,201.55,196,167,258.5,520.5,143,182.5,464.5,216,109,62.5,718.5,1831.5,2087,1179.6,2654,98.5,56.15,1152.5,232,370.5,1903,417,832,20,70.75,166,2117,1177.05,449,767,872.5,201.55,196,167,258.5,520.5,143,182.5,464.5,216,109,62.5,718.5,1831.5,2087,1179.6,2654,98.5,56.15,1152.5,232,370.5,1903,417,832,20,70.75,166,2117,1177.05,449,767,872.5,201.55,196,167,258.5
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,46,20,261,36,20,20,20,20,123,20,20,20,32,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,46,20,261,36,20,20,20,20,123,20,20,20,32,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,46,20,261,36,20,20,20,20,123,20,20,20,32,20,20,20,20,20,20,20,20,20,20,20
32,57,124,29,79,20,95,91,61,213,193,82,24,47,1550,915,454,1106,702,115,42,188,20,99,20,20,94,66,20,20,20,86,32,57,124,29,79,20,95,91,61,213,193,82,24,47,1550,915,454,1106,702,115,42,188,20,99,20,20,94,66,20,20,20,86,32,57,124,29,79,20,95,91,61,213,193,82,24,47,1550,915,454,1106,702,115,42,188,20,99,20,20,94,66,20,20,20,86,32,57,124,29,79,20,95
20,110,20,55,20,22,20,20,20,20,20,69,20,20,210,20,20,23,20,20,20,20,60,20,20,25,62,20,20,20,20,20,20,110,20,55,20,22,20,20,20,20,20,69,20,20,210,20,20,23,20,20,20,20,60,20,20,25,62,20,20,20,20,20,20,110,20,55,20,22,20,20,20,20,20,69,20,20,210,20,20,23,20,20,20,20,60,20,20,25,62,20,20,20,20,20,20,110,20,55,20,22,20
131,36,190,40.2,45,20,20,20,20,32,106,20,20,20,103,440,99,53,405,20,20,38,70,31,276,28,80,20,20,52,218,114.1,131,36,190,40.2,45,20,20,20,20,32,106,20,20,20,103,440,99,53,405,20,20,38,70,31,276,28,80,20,20,52,218,114.1,131,36,190,40.2,45,20,20,20,20,32,106,20,20,20,103,440,99,53,405,20,20,38,70,31,276,28,80,20,20,52,218,114.1,131,36,190,40.2,45,20,20
43.5,73,51,29.5,20,29.5,21,35.5,20,26,20,27,20.5,24,20,159,20,49.5,37.5,20,20.5,183.5,31.5,110,135.5,28,148.5,26.5,20,20,31,28.5,43.5,73,51,29.5,20,29.5,21,35.5,20,26,20,27,20.5,24,20,159,20,49.5,37.5,20,20.5,183.5,31.5,110,135.5,28,148.5,26.5,20,20,31,28.5,43.5,73,51,29.5,20,29.5,21,35.5,20,26,20,27,20.5,24,20,159,20,49.5,37.5,20,20.5,183.5,31.5,110,135.5,28,148.5,26.5,20,20,31,28.5,43.5,73,51,29.5,20,29.5,21
20,36,176,20,23,20,20,20,22,45,39,20,20,29,60,20,20,20,20,20,20,20,20,41,98,20,20,20,20,20,20,20,20,36,176,20,23,20,20,20,22,45,39,20,20,29,60,20,20,20,20,20,20,20,20,41,98,20,20,20,20,20,20,20,20,36,176,20,23,20,20,20,22,45,39,20,20,29,60,20,20,20,20,20,20,20,20,41,98,20,20,20,20,20,20,20,20,36,176,20,23,20,20
217,107,198,159,20,133,187,163,188,252,247,232,103,149,259,310,59,201,189,224,85,210,103,259,197,123,67,62,102,82,127,25,217,107,198,159,20,133,187,163,188,252,247,232,103,149,259,310,59,201,189,224,85,210,103,259,197,123,67,62,102,82,127,25,217,107,198,159,20,133,187,163,188,252,247,232,103,149,259,310,59,201,189,224,85,210,103,259,197,123,67,62,102,82,127,25,217,107,198,159,20,133,187
93,385,83,20,20,75,58.7,113,22,53,158,20,20,20,20,829,20,46.3,174,20,20,1954,243,593,1712,427,984,20,248,394,1015,878.3,93,385,83,20,20,75,58.7,113,22,53,158,20,20,20,20,829,20,46.3,174,20,20,1954,243,593,1712,427,984,20,248,394,1015,878.3,93,385,83,20,20,75,58.7,113,22,53,158,20,20,20,20,829,20,46.3,174,20,20,1954,243,593,1712,427,984,20,248,394,1015,878.3,93,385,83,20,20,75,58.7
216,250.5,141,90.15,109,67,153.45,187,234,213.5,326.5,515,322.5,107,1235.5,517.5,59.5,202.65,809,694.5,411.9,237.5,132.5,260,419,119,57.5,78.5,20,20,295,124.2,216,250.5,141,90.15,109,67,153.45,187,234,213.5,326.5,515,322.5,107,1235.5,517.5,59.5,202.65,809,694.5,411.9,237.5,132.5,260,419,119,57.5,78.5,20,20,295,124.2,216,250.5,141,90.15,109,67,153.45,187,234,213.5,326.5,515,322.5,107,1235.5,517.5,59.5,202.65,809,694.5,411.9,237.5,132.5,260,419,119,57.5,78.5,20,20,295,124.2,216,250.5,141,90.15,109,67,153.45
134,169,129,153,20,146,26,187,120,78,79,111,95,29,20,20,20,47,70,55,26,20,20,129,43,94,20,20,45,20,33,20,134,169,129,153,20,146,26,187,120,78,79,111,95,29,20,20,20,47,70,55,26,20,20,129,43,94,20,20,45,20,33,20,134,169,129,153,20,146,26,187,120,78,79,111,95,29,20,20,20,47,70,55,26,20,20,129,43,94,20,20,45,20,33,20,134,169,129,153,20,146,26
